Locus_tags,TSS_ID,Gene Symbols,Max_Norm_Reads,DK_vs_CT_log2FoldChange,DK_vs_CT_padj,HL_vs_CT_log2FoldChange,HL_vs_CT_padj,Product
M744_RS09235,gTSS-18416735581.41 ,3.6,5.70E-48,-3.33,4.27E-28,1.16,5.71E-05,
M744_RS09240,gTSS-1843052,accC,3663.51,-1.84,1.17E-11,2.96,6.25E-37,acetyl-CoA carboxylase biotin carboxylase subunit
M744_RS09255,gTSS-18469949237.50 ,2.23,2.56E-26,0.57,1.02E-02,-0.13,6.93E-01,
M744_RS09265,gTSS+18477811364.19 ,1.76,2.18E-09,0.33,3.13E-01,-0.79,2.89E-02,
M744_RS09270,gTSS+1848552,rluA,3779.72,1.92,1.04E-18,0.72,1.65E-03,RNA pseudouridine synthase
M744_RS09275,gTSS+18503311337.63 ,0.22,3.41E-01,1.12,4.33E-07,0.38,1.77E-01,
M744_RS09280,gTSS-1854931,metH,578.97,-1.74,6.74E-06,1.88,8.93E-10,methionine synthase
M744_RS09290,gTSS-18565202885.24 ,0.49,2.10E-02,-2.09,2.79E-22,0.31,2.72E-01,
M744_RS09295,gTSS-1857245,recR,1919.6,-1.25,4.36E-04,3.53,1.47E-34,recombination protein RecR
M744_RS09320,gTSS-18617999999.26 ,1.68,3.79E-18,0.98,7.93E-07,-0.88,7.80E-05,
M744_RS09325,gTSS-18620465498.85 ,-0.85,5.43E-03,1.9,3.21E-10,-0.06,9.07E-01,
M744_RS09330,gTSS-186285924047.69 ,4.96,4.59E-109,-1.87,1.38E-14,0.94,3.45E-04,
M744_RS09335,gTSS-18634044241.51 ,0.66,2.71E-03,0.18,4.68E-01,-0.68,8.90E-03,
M744_RS09340,gTSS-18648294364.27 ,-0.81,3.38E-03,1.62,1.98E-09,0.56,9.31E-02,
M744_RS09345,gTSS+18649426954.68 ,-1.77,4.92E-17,1.17,2.55E-08,0.02,9.54E-01,
M744_RS09395,gTSS+1882390762.65 ,-2.08,3.14E-13,0.66,1.07E-02,-0.21,5.60E-01,
M744_RS09400,gTSS+1883105780.62 ,-0.06,8.24E-01,1.01,4.97E-05,0.19,6.00E-01,
M744_RS09425,gTSS-1887330,ndhA,28232.68,-4.73,4.17E-88,1.18,5.77E-07,NAD(P)H-quinone oxidoreductase subunit 1
M744_RS09435,gTSS-18897281334.77 ,-1.72,5.75E-13,-0.76,1.50E-03,-0.57,4.37E-02,
M744_RS09440,gTSS+18898083521.56 ,0.92,2.38E-04,0.1,7.21E-01,-1.01,4.36E-04,
M744_RS09450,gTSS+18907584935.43 ,-1.84,9.32E-03,-1.33,7.50E-02,-2.58,1.54E-03,
M744_RS09460,gTSS-18974141306.55 ,3.97,1.19E-54,-3.49,1.21E-12,1.34,6.55E-06,
M744_RS09490,gTSS-19021731612.55 ,-2.25,1.75E-21,-1.05,5.22E-06,0.05,8.95E-01,
M744_RS09495,gTSS-19026922638.33 ,-2.88,8.03E-26,0.9,6.02E-04,-0.83,6.12E-03,
M744_RS09510,gTSS-1907449855.21 ,-0.07,8.15E-01,0.02,9.63E-01,0.39,2.75E-01,
M744_RS09515,gTSS-1908700,dnaB,927.76,1.94,4.47E-13,1.12,5.20E-05,replicative DNA helicase
M744_RS09525,gTSS-1912536,fpg,1505.33,0.16,6.06E-01,2.45,2.92E-17,formamidopyrimidine-DNA glycosylase
M744_RS09530,gTSS-1912917,psaE,4754.19,-3.73,2.15E-36,-2.38,5.35E-17,photosystem I reaction center subunit IV
M744_RS09535,gTSS+19130125771.78 ,-2.13,1.19E-21,2.36,2.47E-31,-0.51,4.10E-02,
M744_RS09540,gTSS+191409923374.64 ,4.44,2.25E-89,-0.84,3.83E-04,-0.49,8.88E-02,
M744_RS09545,gTSS-19156501237.84 ,-2.03,5.12E-12,1.75,2.09E-12,-0.38,2.51E-01,
M744_RS09565,gTSS+19184652667.08 ,2.66,2.50E-22,0.68,2.09E-02,-0.87,1.03E-02,
M744_RS09585,gTSS+1925868776.85 ,-2.5,6.87E-17,-1.22,1.68E-05,-0.32,3.95E-01,
M744_RS09590,gTSS-1927410,"cmpR, ndhR",20167.1,-4.19,2.52E-35,2.09,3.07E-10,HTH-type transcriptional activator CmpR
M744_RS09600,gTSS-1929429,trpS,1521.31,-1.39,2.77E-06,2.01,4.21E-14,tryptophan--tRNA ligase
M744_RS09620,gTSS+1932679601.93 ,-0.87,2.82E-03,0.05,8.77E-01,-0.95,3.67E-03,
M744_RS09625,gTSS+19333165335.97 ,2.61,2.25E-24,1.08,5.62E-05,-0.36,3.09E-01,
M744_RS09630,gTSS-19342432452.55 ,4.13,2.38E-69,-0.47,9.47E-02,-0.11,7.80E-01,
M744_RS09635,gTSS-1935764,recQ,870.22,0.84,3.18E-03,-1.62,5.39E-08,ATP-dependent DNA helicase RecQ
M744_RS09645,gTSS+1936591782.28 ,-2.83,1.09E-22,-1.34,4.10E-07,-0.25,4.91E-01,
M744_RS09650,gTSS-193940160151.94 ,7.33,2.30E-234,-1.08,1.74E-05,0.24,4.72E-01,
M744_RS09670,gTSS-19457691681.69 ,1.64,7.08E-15,0.69,1.65E-03,-0.25,3.91E-01,
M744_RS09675,gTSS+1945835,pheT,11940.95,-1,7.90E-07,1.99,2.90E-23,phenylalanine--tRNA ligase subunit beta
M744_RS09695,gTSS-1954147502.11 ,0.58,5.09E-02,1.63,5.76E-09,-0.65,6.63E-02,
M744_RS09700,gTSS-1955516581.62 ,-8.28,6.21E-09,0.74,7.12E-03,-1.03,1.02E-03,
M744_RS09705,gTSS-1957192,moeA,567,-0.49,1.33E-01,0.98,1.80E-03,molybdopterin molybdenumtransferase
M744_RS09730,gTSS+1960589517.08 ,-5.01,7.51E-12,1.5,4.02E-06,0.33,4.61E-01,
M744_RS09740,gTSS+1961437798.12 ,1.89,1.79E-14,-0.81,2.99E-03,-0.04,9.29E-01,
M744_RS09745,gTSS+1962676,rpl35,81605.44,-3.65,2.17E-65,2.87,7.65E-43,50S ribosomal protein L35
M744_RS09760,gTSS+19640622193.07 ,-1.28,1.33E-08,-0.5,3.10E-02,0.12,7.16E-01,
M744_RS09775,gTSS+1967682675.26 ,-0.76,4.47E-03,-0.78,3.84E-03,0.14,7.19E-01,
M744_RS09780,gTSS+19682702080.31 ,-3.74,6.88E-40,0.81,6.23E-04,-0.25,4.41E-01,
M744_RS09785,gTSS-19693265068.72 ,0.88,1.93E-04,0.72,2.97E-03,-1.88,5.50E-14,
M744_RS09790,gTSS-19709421794.18 ,-1.61,2.36E-10,1.72,8.63E-14,-0.8,3.58E-03,
M744_RS09820,gTSS+19765751245.79 ,1.11,7.85E-05,3.29,9.75E-36,-0.05,9.17E-01,
M744_RS09825,gTSS+19777201961.53 ,0.51,4.48E-02,3.04,9.77E-40,0.35,2.68E-01,
M744_RS09830,gTSS+1979488,tpi,831.53,-3.21,4.72E-08,2.96,7.19E-20,triose-phosphate isomerase
M744_RS09835,gTSS-19812431155.58 ,1.63,1.59E-05,0,9.95E-01,-1.76,6.14E-05,
M744_RS09840,gTSS-19825111396.53 ,-0.27,2.75E-01,1.16,1.05E-06,-1.27,2.29E-06,
M744_RS09855,gTSS-1985409,gst,978.39,-1.29,3.22E-05,-0.17,6.26E-01,glutathione S-transferase
M744_RS09880,gTSS-19900672679.25 ,-0.82,1.77E-03,2.57,1.32E-26,-0.74,1.27E-02,
M744_RS09900,gTSS-1992994878.56 ,-2.46,2.85E-18,0.36,1.79E-01,0.39,2.25E-01,
M744_RS09910,gTSS-19947889948.36 ,3.43,1.64E-53,-0.6,1.35E-02,0.65,1.73E-02,
M744_RS09915,gTSS-1996134904.40 ,-3.13,9.38E-28,0.33,1.99E-01,-0.24,4.85E-01,
M744_RS09965,gTSS-20097443038.56 ,2.32,1.17E-24,-2.16,3.80E-18,0.73,7.15E-03,
M744_RS09975,gTSS+2010947,petC,26877.25,-2.33,3.67E-22,1.43,5.15E-09,cytochrome b6-f complex iron-sulfur subunit
M744_RS10000,gTSS+2015121,radC,640.02,0.77,9.32E-03,-2.38,2.75E-13,hypothetical protein
M744_RS10010,gTSS-20174521267.18 ,0.8,7.90E-04,0.56,2.53E-02,0.28,3.91E-01,
M744_RS10015,gTSS+2017515,pcyA,1007.79,-1.26,2.90E-05,-1.66,4.06E-08,phycocyanobilin:ferredoxin oxidoreductase
M744_RS10020,gTSS+20183546404.65 ,-1.65,1.01E-10,1.35,1.40E-07,-1.18,3.77E-05,
M744_RS10030,gTSS-2021670,truB,2286.47,5.27,3.34E-84,-1.91,2.56E-06,tRNA pseudouridine(55) synthase TruB
M744_RS10045,gTSS-2022905,rpl21,94343.87,-2.47,6.07E-29,3.36,7.83E-53,50S ribosomal protein L21
M744_RS10080,gTSS-20282552048.94 ,1.87,5.69E-18,0.28,2.47E-01,-0.3,3.15E-01,
M744_RS10100,gTSS+20291414399.68 ,5.19,7.49E-79,0.18,5.96E-01,0.28,5.00E-01,
M744_RS10135,gTSS+2031483607.92 ,-1.51,4.83E-05,1.98,1.75E-10,-0.15,7.62E-01,
M744_RS10140,gTSS+2033550523.07 ,-4.39,9.15E-05,3.22,3.79E-17,-0.25,6.90E-01,
M744_RS10175,gTSS-2041847,pdxJ,2534.51,-0.05,8.55E-01,1.4,3.75E-09,pyridoxine 5'-phosphate synthase
M744_RS10180,gTSS+20420071753.89 ,-2.37,5.22E-11,2.26,4.22E-13,-0.63,1.15E-01,
M744_RS10190,gTSS-20441363735.56 ,-3.86,2.44E-45,0.2,4.99E-01,0.21,5.65E-01,
M744_RS10195,gTSS+20442371493.35 ,-3.1,2.61E-23,1.5,1.22E-09,-1.13,6.94E-05,
M744_RS10200,gTSS+2045820788.98 ,-2.81,1.03E-12,1.42,1.09E-05,-1.87,4.29E-07,
M744_RS10210,gTSS-20481341706.93 ,-1.53,2.53E-09,1.55,5.17E-11,-0.5,9.24E-02,
M744_RS10230,gTSS-20510145220.75 ,-1.14,8.21E-08,0.53,1.72E-02,-0.01,9.86E-01,
M744_RS10245,gTSS-2052793,ndhC,7428.32,-3.5,2.38E-32,0.79,8.84E-03,hypothetical protein
M744_RS10250,gTSS+2052908,rub,9648.91,-1.57,6.38E-12,1.02,1.08E-05,rubredoxin
M744_RS10310,gTSS-2065054671.81 ,-0.38,2.50E-01,0.83,1.01E-02,-0.04,9.48E-01,
M744_RS10325,gTSS-20675831694.42 ,0.84,5.03E-04,0.5,4.90E-02,-0.65,2.81E-02,
M744_RS10345,gTSS-20711094274.25 ,-1.1,1.28E-05,-1.31,2.94E-07,0.21,5.71E-01,
M744_RS10350,gTSS+2071174128821.61 ,3.36,3.73E-46,-0.04,8.89E-01,0.23,4.95E-01,
M744_RS10355,gTSS+207190918109.58 ,3.12,2.12E-42,-1.22,3.23E-07,1.15,1.05E-05,
M744_RS10385,gTSS+208556836944.36 ,-3.14,1.06E-40,0.7,4.55E-03,-0.19,5.76E-01,
M744_RS10390,gTSS+2086932,panC,828.53,0.42,8.35E-02,0.72,3.29E-03,bifunctional pantoate ligase/cytidylate kinase
M744_RS10410,gTSS-209177132495.79 ,6.79,1.78E-182,-2.28,1.77E-15,1.52,9.62E-09,
M744_RS10420,gTSS+20929681566.23 ,-0.56,5.01E-02,0.89,1.85E-03,-1.03,1.35E-03,
M744_RS10425,gTSS+20932763433.89 ,-2.74,1.48E-16,-0.7,4.24E-02,-1.47,7.24E-05,
M744_RS10435,gTSS-20951021351.61 ,0.09,7.29E-01,1.17,2.03E-06,-0.42,1.83E-01,
M744_RS10440,gTSS-2095916867.00 ,-1.84,3.06E-11,0.38,1.59E-01,0.71,1.62E-02,
M744_RS10445,gTSS-2097543,metS,2940.79,1.5,7.82E-14,1.96,2.42E-22,methionine--tRNA ligase
M744_RS10450,gTSS+20976342345.76 ,-0.43,5.33E-02,0.03,9.20E-01,-0.01,9.74E-01,
M744_RS10455,gTSS+2098173933.35 ,-3.22,1.06E-10,2.61,7.04E-17,-0.16,7.47E-01,
M744_RS10460,gTSS+21001497406.06 ,-1.13,4.90E-06,-0.14,6.28E-01,0.47,1.36E-01,
M744_RS10470,gTSS+2102895,ycf23,17035.2,-3.91,6.95E-71,0.51,2.37E-02,hypothetical protein
M744_RS10475,gTSS-2106462,pepN,1185.9,-0.08,7.55E-01,0.53,2.64E-02,aminopeptidase
M744_RS10500,gTSS-2113135,ftrV,7293.08,0.61,2.17E-02,2.05,3.82E-15,ferredoxin:thioredoxin reductase
M744_RS10505,gTSS-2115044689.78 ,-0.37,1.62E-01,0.15,5.99E-01,-0.06,8.90E-01,
M744_RS10520,gTSS-2119114,tldD,5226.89,0.68,9.19E-04,0.46,3.22E-02,hypothetical protein
M744_RS10525,gTSS+21192161203.87 ,-4.05,4.49E-27,1.33,9.12E-08,-0.61,4.73E-02,
M744_RS10530,gTSS-21211075668.40 ,-0.96,4.11E-05,-1.15,1.31E-06,0.2,5.51E-01,
M744_RS10535,gTSS-2123352,rnb,521.78,1.29,8.22E-07,0.93,4.83E-04,ribonuclease
M744_RS10550,gTSS+21264322445.67 ,-3.56,3.14E-04,3.74,4.43E-05,-3,5.50E-03,
M744_RS10555,gTSS+2127141518.78 ,0.93,3.70E-04,0.88,9.31E-04,0.19,6.26E-01,
M744_RS10565,gTSS-21301061254.78 ,-0.89,6.16E-03,1.46,3.59E-06,-0.3,5.01E-01,
M744_RS10570,gTSS-2131693,pgk,14336.98,-3.02,1.56E-38,1.45,3.48E-10,phosphoglycerate kinase
M744_RS10575,gTSS+2131710614.04 ,-0.1,7.72E-01,-0.17,6.64E-01,-0.57,1.69E-01,
M744_RS10580,gTSS+21320241229.70 ,1.97,1.67E-13,0.38,2.02E-01,-0.25,5.23E-01,
M744_RS10610,gTSS-213921429838.74 ,-0.27,1.96E-01,-4.65,8.90E-118,0.91,5.85E-05,
M744_RS10620,gTSS+2140297941.33 ,-2.96,1.27E-16,1.59,1.54E-09,-0.76,1.84E-02,
M744_RS10630,gTSS+2141743,ftsW,2289.21,2.69,1.37E-27,-0.38,1.71E-01,rod shape-determining protein RodA
M744_RS10665,gTSS+2149530,thiC,2802.63,-0.53,1.04E-02,-0.06,8.13E-01,phosphomethylpyrimidine synthase
M744_RS10670,gTSS-21516271229.70 ,5.75,1.44E-79,-0.88,6.33E-02,0.48,3.16E-01,
M744_RS10690,gTSS-2156132547.03 ,-5.08,2.16E-08,2.22,1.07E-11,-1.62,5.85E-05,
M744_RS10695,gTSS+21561247710.28 ,-3.31,3.26E-38,0.72,5.58E-03,-1.85,5.56E-12,
M744_RS10700,gTSS-2159746,clpB,23501.91,4.32,2.78E-101,-0.17,4.66E-01,chaperone protein ClpB
M744_RS10705,gTSS-2160295,petE,37810.22,-1.19,1.15E-06,-0.29,2.72E-01,plastocyanin
M744_RS10710,gTSS-2161921992.52 ,-1.02,3.89E-04,0.06,8.69E-01,-0.7,4.16E-02,
M744_RS10715,gTSS-2162410,hemE,13640.29,-1.86,6.50E-17,1.95,9.78E-19,uroporphyrinogen decarboxylase
M744_RS10730,gTSS-2166706887.43 ,-4.42,3.02E-20,1.35,2.34E-06,-0.71,4.31E-02,
M744_RS10745,gTSS-21727021137.96 ,-2.28,1.28E-11,1.82,8.06E-11,-0.01,9.83E-01,
M744_RS10760,gTSS-217676239126.21 ,3.05,2.59E-57,-0.08,7.16E-01,0.09,7.77E-01,
M744_RS10770,gTSS+2177432601.92 ,-0.25,3.81E-01,-0.95,5.70E-04,-0.4,2.45E-01,
M744_RS10780,gTSS+2178881916.30 ,0.54,5.31E-02,-0.62,3.05E-02,-0.25,5.26E-01,
M744_RS10790,gTSS+2180117,cobO,7557.61,0.09,7.22E-01,1.76,4.89E-13,"cob(I)yrinic acid a,c-diamide adenosyltransferase"
M744_RS10795,gTSS+21807594726.64 ,1.38,1.99E-11,-0.69,1.50E-03,0.07,8.50E-01,
M744_RS10805,gTSS+2182694842.51 ,-2.59,1.29E-15,1.07,7.57E-05,0.4,2.56E-01,
M744_RS10810,gTSS-2185040,pdhC,3442.9,-1.3,2.25E-07,2.27,4.92E-22,branched-chain alpha-keto acid dehydrogenase subunit E2
M744_RS10860,gTSS-21956046318.66 ,1.47,2.06E-08,0.09,7.78E-01,-0.51,1.32E-01,
M744_RS10875,gTSS-21977784824.93 ,0.31,1.44E-01,0.83,1.01E-04,0.09,7.86E-01,
M744_RS10925,gTSS-22052561087.32 ,-0.38,1.09E-01,-0.58,1.54E-02,0.41,1.63E-01,
M744_RS10930,gTSS+2205315864.63 ,1.41,1.85E-09,0.56,2.21E-02,-0.41,1.87E-01,
M744_RS10935,gTSS+22069801995.47 ,0.51,2.04E-02,1.1,6.10E-07,-0.43,1.17E-01,
M744_RS10945,gTSS-220884413394.39 ,-5.72,4.25E-84,-5.33,1.11E-79,0.19,6.50E-01,
M744_RS10950,gTSS-220976912714.18 ,4.57,3.30E-88,-1.41,1.61E-08,1.18,7.42E-06,
M744_RS10965,gTSS-2213171,speA,2100.28,-0.03,8.98E-01,0.85,1.94E-04,arginine decarboxylase
M744_RS10970,gTSS-2213732802.69 ,-4.77,1.62E-32,0.35,1.64E-01,0.39,1.95E-01,
M744_RS10985,gTSS-2216807854.73 ,-4.77,2.26E-13,2.22,1.60E-17,-0.17,6.82E-01,
M744_RS10990,gTSS-2217983802.89 ,-3.75,5.16E-20,0.97,7.86E-04,-0.25,5.46E-01,
M744_RS10995,gTSS+22181972231.99 ,-0.9,1.01E-04,-0.4,1.01E-01,0.39,1.74E-01,
M744_RS11020,gTSS+22227193882.96 ,0.89,1.05E-04,1.96,7.95E-18,-0.57,4.14E-02,
M744_RS11025,gTSS-2225342532.06 ,-0.41,1.61E-01,1.03,1.31E-04,0.17,6.69E-01,
M744_RS11050,gTSS-2231187850.85 ,2.21,3.79E-18,0.43,1.28E-01,0.31,3.86E-01,
M744_RS11055,gTSS-22319121280.73 ,-3.57,1.34E-28,0.68,1.26E-02,-0.2,6.04E-01,
M744_RS11075,gTSS+223321126819.99 ,5.16,2.59E-121,-0.24,3.50E-01,1.29,2.28E-07,
M744_RS11090,gTSS+2239711,sphR,3140.44,-0.5,6.53E-01,1.39,2.26E-01,DNA-binding response regulator
M744_RS11110,gTSS+2243152,purU,1437.45,-3.34,1.72E-16,2.5,3.14E-22,formyltetrahydrofolate deformylase
M744_RS11125,gTSS-22474422371.80 ,-2.85,1.58E-22,1.82,1.19E-13,-0.31,3.64E-01,
M744_RS11140,gTSS-2250062,trpE,2040.39,-1.76,4.88E-13,1.47,5.29E-11,anthranilate synthase component I
M744_RS11145,gTSS-2250597,psaD,3278.63,-4.69,2.96E-54,-3.09,2.05E-30,photosystem I reaction center subunit II
M744_RS11150,gTSS+2250761,lysC,539.05,-2.2,1.96E-07,1.86,5.26E-09,aspartate kinase
M744_RS11155,gTSS+22528294114.71 ,-4.8,5.15E-05,3.92,3.94E-04,-0.89,5.71E-01,
M744_RS11160,gTSS+22565219088.42 ,2.44,5.64E-33,0.27,2.33E-01,0.21,4.69E-01,
M744_RS11170,gTSS+2258999,rpl32,129300.84,-4.52,1.78E-87,2.96,6.44E-40,50S ribosomal protein L32
M744_RS11180,gTSS-2260656,ycf2,942.33,-2.85,7.85E-20,0.87,1.08E-03,hypothetical protein
M744_RS11185,gTSS+22606802059.70 ,0.44,5.54E-02,0.59,1.23E-02,-0.01,9.75E-01,
M744_RS11190,gTSS+22612911895.64 ,-0.12,6.45E-01,1.1,7.20E-06,0.36,2.55E-01,
M744_RS11205,gTSS+2265074,cobP,530.06,-2.83,1.31E-11,1.45,6.80E-07,adenosylcobinamide kinase/adenosylcobinamide phosphate guanyltransferase
M744_RS11215,gTSS+2266760,ycf54,5875.93,3.34,1.86E-46,-2.98,2.87E-28,hypothetical protein
M744_RS11220,gTSS+2267719,fur,3562.07,0.12,5.59E-01,-0.01,9.64E-01,transcriptional repressor
M744_RS11240,gTSS-2272864,deoC,3279.6,0.3,2.55E-01,0.16,5.69E-01,2-deoxyribose-5-phosphate aldolase
M744_RS11250,gTSS+2272947727.71 ,-3,4.21E-21,0.54,4.45E-02,0.04,9.33E-01,
M744_RS11275,gTSS+2278275,prk,6847.87,-0.92,9.84E-06,0.65,2.19E-03,phosphoribulokinase
M744_RS11280,gTSS-22823133757.71 ,3.3,7.15E-55,0.87,9.54E-05,-0.25,4.10E-01,
M744_RS11285,gTSS+22822951072.10 ,-2.55,6.35E-13,2.12,2.22E-15,0.06,8.98E-01,
M744_RS11290,gTSS+22832891218.84 ,-4.16,2.32E-32,0.6,3.40E-02,-0.21,5.92E-01,
M744_RS11300,gTSS+228529342414.86 ,-1.27,4.31E-10,3.62,1.94E-75,-0.01,9.70E-01,
M744_RS11310,gTSS+2288231634.88 ,-3.31,1.39E-11,2.03,1.00E-11,-0.94,1.18E-02,
M744_RS11315,gTSS-22893329141.15 ,2.36,1.85E-33,-0.79,1.44E-04,0.01,9.71E-01,
M744_RS11320,gTSS-2290404,hemC,2206.09,-2.23,3.09E-18,1.87,1.75E-17,hydroxymethylbilane synthase
M744_RS11335,gTSS-22926675214.37 ,-0.49,2.46E-02,0.95,1.28E-05,-0.24,4.13E-01,
M744_RS11345,gTSS-22955441512.32 ,-0.2,4.31E-01,0.26,3.22E-01,-0.35,2.63E-01,
M744_RS11350,gTSS-2296825876.45 ,-3.4,1.06E-12,2.11,4.59E-11,-0.5,2.45E-01,
M744_RS11355,gTSS+22968864426.95 ,2.39,1.04E-32,1.43,4.66E-12,-0.35,1.92E-01,
M744_RS11360,gTSS+2298109,purN,1169.31,0.96,3.89E-05,-0.31,2.30E-01,phosphoribosylglycinamide formyltransferase
M744_RS11370,gTSS-23005735931.64 ,0.44,8.41E-02,0.4,1.40E-01,-0.43,1.87E-01,
M744_RS11375,gTSS+23006551899.86 ,3.85,2.82E-60,0.57,3.02E-02,-0.89,4.05E-03,
M744_RS11380,gTSS+2301015785.61 ,-1.77,3.74E-11,0.41,1.12E-01,-0.15,6.91E-01,
M744_RS11385,gTSS+2302232678.98 ,-2.57,7.82E-14,1.24,4.36E-06,0.14,7.28E-01,
M744_RS11390,gTSS+23028241682.78 ,-1.54,2.24E-11,-2.63,1.01E-29,0.8,1.52E-03,
M744_RS11395,gTSS-2304646,nadC,3225.47,-0.83,3.32E-04,1.95,7.50E-19,nicotinate-nucleotide diphosphorylase (carboxylating)
M744_RS11420,gTSS-2310461992.00 ,0,9.99E-01,0.08,8.34E-01,1.23,4.75E-04,
M744_RS11425,gTSS+2310628670.86 ,1.09,4.43E-05,0.4,1.56E-01,1.04,5.69E-04,
M744_RS11430,gTSS-2313126,folC,1430.8,1.09,2.19E-06,0.18,4.92E-01,bifunctional folylpolyglutamate synthase/dihydrofolate synthase
M744_RS11435,gTSS-2314271,argD,9178.74,-0.85,1.12E-05,0.12,5.95E-01,aspartate aminotransferase family protein
M744_RS11440,gTSS+2314510,ftsH,1835.22,0.03,8.97E-01,-1.81,1.11E-15,cell division protein FtsH
M744_RS11445,gTSS+23166692378.79 ,-1.11,1.19E-05,2.41,4.06E-26,-0.73,8.94E-03,
M744_RS11450,gTSS+23188081828.07 ,0.91,1.22E-05,-0.7,1.21E-03,-0.14,6.45E-01,
M744_RS11485,gTSS+2323493,narM,1155.95,-3.14,9.36E-26,0.59,2.55E-02,hypothetical protein
M744_RS11495,gTSS-2326435,lpxA,22723.78,1.71,3.59E-15,0.57,1.30E-02,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
M744_RS11500,gTSS-2326702,fabZ,4407.19,-1.46,1.02E-10,1.46,3.06E-11,beta-hydroxyacyl-ACP dehydratase
M744_RS11510,gTSS-23296914257.46 ,-2.72,4.74E-26,2.02,1.10E-18,-0.54,5.70E-02,
M744_RS11515,gTSS-2330462,purC,11359.88,-2.89,1.65E-39,1.94,1.83E-20,phosphoribosylaminoimidazolesuccinocarboxamide synthase
M744_RS11525,gTSS+2331833,purD,3775.31,-2.27,1.05E-16,2.9,1.89E-37,phosphoribosylamine--glycine ligase
M744_RS11540,gTSS+2336007,gltX,950.69,-0.74,2.93E-03,-1.27,3.83E-07,tRNA glutamyl-Q(34) synthetase GluQRS
M744_RS11555,gTSS-23384571639.10 ,-2.25,2.24E-09,3,3.63E-27,-0.04,9.36E-01,
M744_RS11560,gTSS-2340408,fadD,735.7,-0.82,3.77E-03,1.13,2.46E-05,long-chain fatty acid--CoA ligase
M744_RS11565,gTSS+234063555335.93 ,2.6,9.04E-35,-0.33,1.48E-01,0.59,2.29E-02,
M744_RS11595,gTSS-2345262,dnaX,1597.04,0.71,2.57E-03,-0.95,7.85E-05,DNA polymerase III subunit gamma/tau
M744_RS11600,gTSS-2345638641.77 ,3.57,3.08E-32,-0.17,6.63E-01,0.15,7.66E-01,
M744_RS11605,gTSS-234592810643.15 ,-1.1,8.65E-08,1.94,1.35E-21,-0.24,3.98E-01,
M744_RS11610,gTSS-2346374,"ycf57, iscA",4057.88,0.44,1.07E-01,-0.66,1.94E-02,iron-sulfur cluster assembly accessory protein
M744_RS11615,gTSS-234722317646.88 ,-0.03,8.74E-01,0.02,9.39E-01,0.09,7.55E-01,
M744_RS11620,gTSS-23477841564.57 ,1.19,3.69E-06,-0.44,1.16E-01,0.11,7.99E-01,
M744_RS11625,gTSS-23490222454782.96 ,7.3,1.02E-112,-2.48,9.98E-14,3.8,4.31E-29,
M744_RS11630,gTSS-234999715601.77 ,2.35,3.62E-32,-0.21,3.48E-01,-0.1,7.43E-01,
M744_RS11635,gTSS+2350111,acnB,2480.74,-2.28,2.20E-18,2.07,3.89E-21,aconitate hydratase B
M744_RS11645,gTSS-23547282930.81 ,-2.48,3.87E-19,1.71,1.82E-11,-0.26,4.76E-01,
M744_RS11675,gTSS-2357733,minD,8324.78,-3.16,1.94E-41,1.33,5.08E-09,septum site-determining protein MinD
M744_RS11690,gTSS-2361371,psbA2,30434.09,-2.18,1.45E-13,2.13,8.71E-13,photosystem I reaction center subunit IX
M744_RS11700,gTSS-23634804578.37 ,-0.32,1.14E-01,1.52,1.77E-14,-0.03,9.27E-01,
M744_RS11705,gTSS-2367947,"gltB, glsF, gltS",114762.46,0.8,5.93E-05,0.19,3.97E-01,glutamate synthase subunit alpha
M744_RS11730,gTSS+2371444,fus,21014.25,-0.44,1.26E-01,1.68,2.34E-09,elongation factor G
M744_RS11750,gTSS-2377114,pheA,5961.44,-1.58,2.07E-12,0.36,1.38E-01,prephenate dehydratase
M744_RS11760,gTSS-2379077,rhnB,1090.83,3.68,2.58E-44,-0.77,1.62E-02,ribonuclease HII
M744_RS11765,gTSS-2380987,rne,24603.65,1.31,1.43E-11,1.02,3.03E-07,ribonuclease E
M744_RS11770,gTSS-23836752391.76 ,-2.44,5.38E-20,1.73,1.52E-13,-0.4,1.91E-01,
M744_RS11775,gTSS-2386512,alaS,2888.88,-0.15,5.01E-01,1.31,3.13E-10,alanine--tRNA ligase
M744_RS11780,gTSS+23865643207.32 ,-2.08,1.87E-22,1.11,4.39E-08,0.12,6.86E-01,
M744_RS11785,gTSS+2386989767.64 ,-5.02,6.60E-16,1.53,2.56E-07,0.71,4.71E-02,
M744_RS11790,gTSS+23902871126.01 ,-2.89,9.11E-14,2.29,1.38E-17,-1.01,2.00E-03,
M744_RS11800,gTSS+23921822681.62 ,2.06,1.46E-19,0.33,1.88E-01,0.41,1.74E-01,
M744_RS11820,gTSS-23953527561.60 ,-3.04,3.97E-28,2.41,2.86E-22,-0.72,1.62E-02,
M744_RS11825,gTSS-2396089964.19 ,-3.52,1.85E-26,0.12,7.23E-01,0.24,5.53E-01,
M744_RS11830,gTSS-2396642548.97 ,0.74,1.42E-02,-1.33,2.47E-05,-0.58,1.24E-01,
M744_RS11875,gTSS-2410273,pilH/rre7,1218.72,4.6,1.04E-55,0.26,4.88E-01,response regulator
