Locus_tag,Chrs,Start,End,Strand,ID,Type,Old_locus_tag,Product,ProAccNo
M744_RS01190,CP006471,222907,223515,+,gene237,protein_coding,M744_01250,peptide-methionine (R)-S-oxide reductase,WP_011243473.1
M744_RS01195,CP006471,223506,224639,-,gene238,protein_coding,M744_01255,MCE family protein,WP_011243474.1
M744_RS01200,CP006471,224667,225545,-,gene239,protein_coding,M744_01260,peptidase S16,WP_011243475.1
M744_RS01205,CP006471,225895,226455,+,gene240,protein_coding,M744_01265,DUF3611 domain-containing protein,WP_011243476.1
M744_RS01210,CP006471,226570,227640,+,gene241,protein_coding,M744_01270,DNA recombination/repair protein RecA,WP_011243477.1
M744_RS01215,CP006471,228207,228986,-,gene242,protein_coding,M744_01280,peptidoglycan editing factor PgeF,WP_011243479.1
M744_RS01220,CP006471,229032,229802,+,gene243,protein_coding,M744_01285,biotin--[acetyl-CoA-carboxylase] ligase,WP_011243480.1
M744_RS01225,CP006471,229887,230930,+,gene244,protein_coding,M744_01290,peptidase M23,WP_011243481.1
M744_RS01230,CP006471,231283,231684,-,gene245,protein_coding,M744_01295,photosystem II protein Psb27,WP_011377542.1
M744_RS01235,CP006471,231748,231975,-,gene246,protein_coding,,hypothetical protein,WP_011377541.1
M744_RS01240,CP006471,232133,232705,-,gene247,protein_coding,M744_01305,hypothetical protein,WP_011243484.1
M744_RS01245,CP006471,232686,233267,-,gene248,protein_coding,M744_01310,CPBP family intramembrane metalloprotease,WP_011243485.1
M744_RS01250,CP006471,233264,234343,-,gene249,protein_coding,M744_01315,hypothetical protein,WP_011243486.1
M744_RS01255,CP006471,234325,234504,-,gene250,protein_coding,M744_01320,hypothetical protein,WP_039755467.1
M744_RS01260,CP006471,234504,234821,-,gene251,protein_coding,M744_01325,Ferredoxin-2,WP_011243487.1
M744_RS01265,CP006471,234930,235880,-,gene252,protein_coding,M744_01330,ATP synthase subunit gamma,WP_011377540.1
M744_RS01270,CP006471,235943,237460,-,gene253,protein_coding,M744_01335,ATP synthase subunit alpha,WP_011243489.1
M744_RS01275,CP006471,237507,238049,-,gene254,protein_coding,M744_01340,ATP synthase subunit delta,WP_011243490.1
M744_RS01280,CP006471,238059,238574,-,gene255,protein_coding,M744_01345,ATP synthase subunit B,WP_011377538.1
M744_RS01285,CP006471,238618,239094,-,gene256,protein_coding,M744_01350,ATP synthase subunit b',WP_011243492.1
M744_RS01290,CP006471,239239,239484,-,gene257,protein_coding,M744_01355,ATP synthase subunit C,WP_011243493.1
M744_RS01295,CP006471,239627,240382,-,gene258,protein_coding,M744_01360,F0F1 ATP synthase subunit A,WP_039755873.1
M744_RS01300,CP006471,240438,240863,-,gene259,protein_coding,M744_01365,ATP synthase subunit I,WP_039755875.1
M744_RS01305,CP006471,240981,242177,-,gene260,protein_coding,M744_01370,class I SAM-dependent methyltransferase,WP_039755876.1
M744_RS01310,CP006471,242440,244557,+,gene261,protein_coding,M744_01375,phycobiliprotein ApcE,WP_011243497.1
M744_RS01315,CP006471,244923,245408,+,gene262,protein_coding,M744_01380,allophycocyanin alpha chain,WP_011243498.1
M744_RS01320,CP006471,245465,245950,+,gene263,protein_coding,M744_01385,allophycocyanin subunit beta,WP_011243499.1
M744_RS01325,CP006471,246042,246245,+,gene264,protein_coding,M744_01390,photosystem I reaction center subunit XII,WP_011243500.1
M744_RS01330,CP006471,246330,247514,+,gene265,protein_coding,M744_01395,FtsW/RodA/SpoVE family cell cycle protein,WP_011377535.1
M744_RS01335,CP006471,247534,248292,+,gene266,protein_coding,M744_01400,cytochrome C biogenesis protein CcdA,WP_011243502.1
M744_RS01340,CP006471,248289,249659,+,gene267,protein_coding,M744_01405,cytochrome c biogenesis protein CcsB,WP_011243503.1
M744_RS01345,CP006471,249853,250191,+,gene268,protein_coding,M744_01410,nitrogen regulatory protein P-II,WP_011243504.1
M744_RS01350,CP006471,250330,251328,-,gene269,protein_coding,M744_01415,UDP-glucose 4-epimerase GalE,WP_011243505.1
M744_RS01355,CP006471,251358,252176,-,gene270,protein_coding,M744_01420,TlyA family rRNA (cytidine-2'-O)-methyltransferase,WP_011243506.1
M744_RS01360,CP006471,252241,252696,-,gene271,protein_coding,M744_01425,hypothetical protein,WP_011377534.1
M744_RS01365,CP006471,252983,253441,-,gene272,protein_coding,M744_01430,hypothetical protein,WP_011377533.1
M744_RS01370,CP006471,253715,253906,+,gene273,protein_coding,M744_01435,hypothetical protein,WP_011243509.1
M744_RS01375,CP006471,253964,255259,+,gene274,protein_coding,M744_01440,adenylosuccinate lyase,WP_011377532.1
M744_RS01380,CP006471,255306,255935,+,gene275,protein_coding,M744_01445,hypothetical protein,WP_011243511.1
M744_RS01385,CP006471,256064,256576,-,gene276,protein_coding,M744_01450,pentapeptide repeat-containing protein,WP_011243512.1
M744_RS01390,CP006471,256630,257058,+,gene277,protein_coding,M744_01455,YraN family protein,WP_011377531.1
M744_RS01395,CP006471,257085,257924,+,gene278,protein_coding,M744_01460,ribosomal RNA small subunit methyltransferase A,WP_011243514.1
M744_RS01400,CP006471,257921,258865,+,gene279,protein_coding,M744_01465,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,WP_011243515.1
M744_RS01405,CP006471,259295,261199,+,gene280,protein_coding,M744_01470,oxidoreductase,WP_011377530.1
M744_RS01410,CP006471,261230,262369,+,gene281,protein_coding,M744_01475,CO2 hydration protein,WP_011243517.1
M744_RS01415,CP006471,262402,263628,+,gene282,protein_coding,M744_01480,sodium:proton antiporter,WP_011377529.1
M744_RS01420,CP006471,264006,264296,-,gene283,protein_coding,M744_01485,type II toxin-antitoxin system RelE/ParE family toxin,WP_039755475.1
M744_RS01425,CP006471,264293,264523,-,gene284,protein_coding,M744_01490,hypothetical protein,WP_011377528.1
M744_RS01430,CP006471,264858,265505,-,gene285,protein_coding,M744_01495,hypothetical protein,WP_011243520.1
M744_RS01435,CP006471,265641,266729,-,gene286,protein_coding,M744_01500,potassium channel protein,WP_011243521.1
M744_RS01440,CP006471,266891,268330,+,gene287,protein_coding,M744_01505,transporter,WP_011377526.1
M744_RS01445,CP006471,268348,268710,-,gene288,protein_coding,M744_01510,single-stranded DNA-binding protein,WP_011377525.1
M744_RS01450,CP006471,268903,269940,+,gene289,protein_coding,M744_01515,rod shape-determining protein,WP_011243524.1
M744_RS01455,CP006471,269965,270714,+,gene290,protein_coding,M744_01520,rod shape-determining protein MreC,WP_011243525.1
M744_RS01460,CP006471,270675,271358,+,gene291,protein_coding,M744_01525,rod shape-determining protein MreD,WP_011243526.1
M744_RS01465,CP006471,271625,273466,-,gene292,protein_coding,M744_01530,ATP-dependent zinc metalloprotease FtsH,WP_011243527.1
M744_RS01470,CP006471,273573,275612,-,gene293,protein_coding,M744_01535,hypothetical protein,WP_039755479.1
M744_RS01475,CP006471,275734,276921,-,gene294,protein_coding,M744_01540,sulfate adenylyltransferase,WP_011243529.1
M744_RS01480,CP006471,277111,277944,-,gene295,protein_coding,M744_01545,photosystem II manganese-stabilizing polypeptide,WP_011243530.1
M744_RS01485,CP006471,278243,278581,+,gene296,protein_coding,M744_01550,hypothetical protein,WP_011243531.1
M744_RS01490,CP006471,278578,279804,-,gene297,protein_coding,M744_01555,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC,WP_011377522.1
M744_RS01495,CP006471,279808,280026,-,gene298,protein_coding,M744_01560,DUF2555 domain-containing protein,WP_011243533.1
M744_RS01500,CP006471,280106,280178,+,gene299,tRNA,M744_01565,,
M744_RS01505,CP006471,280199,281335,-,gene300,protein_coding,M744_01570,dihydroorotate dehydrogenase (quinone),WP_011377521.1
M744_RS01510,CP006471,281344,284190,-,gene301,protein_coding,M744_01575,protein translocase subunit SecA,WP_011243535.1
M744_RS01515,CP006471,284376,285734,+,gene302,protein_coding,M744_01580,bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase,WP_011243536.1
M744_RS13590,CP006471,285746,286441,-,gene303,protein_coding,M744_01585,hypothetical protein,WP_011377520.1
M744_RS01525,CP006471,286496,286858,-,gene304,protein_coding,M744_01590,DUF1823 domain-containing protein,WP_011243538.1
M744_RS01530,CP006471,286943,287284,-,gene305,protein_coding,M744_01595,carbon dioxide-concentrating mechanism protein CcmK,WP_011243539.1
M744_RS01535,CP006471,287329,287637,-,gene306,protein_coding,M744_01600,carbon dioxide-concentrating mechanism protein CcmK,WP_011243540.1
M744_RS01540,CP006471,287715,288719,+,gene307,protein_coding,M744_01605,tRNA dihydrouridine synthase DusB,WP_011243541.1
protein_coding,CP006471,288916,290199,+,gene308,glyA,M744_RS01545,serine hydroxymethyltransferase,WP_011243543.1
M744_RS01550,CP006471,290222,291295,+,gene309,protein_coding,M744_01615,undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase,WP_011243544.1
M744_RS01555,CP006471,291305,292570,+,gene310,protein_coding,M744_01620,cinA-like protein,WP_011377519.1
M744_RS01560,CP006471,292580,294184,-,gene311,protein_coding,M744_01625,NADH dehydrogenase,WP_011377518.1
M744_RS01565,CP006471,294184,294681,-,gene312,protein_coding,M744_01630,hydrogenase HoxE,WP_011243547.1
protein_coding,CP006471,294806,296845,+,gene313,ligA,M744_RS01570,DNA ligase (NAD(+)) LigA,WP_011243548.1
M744_RS01575,CP006471,296877,298337,+,gene314,protein_coding,M744_01640,FAD-binding oxidoreductase,WP_011243549.1
M744_RS01580,CP006471,298349,298681,-,gene315,protein_coding,M744_01645,DUF86 domain-containing protein,WP_011243550.1
M744_RS01585,CP006471,298671,299009,-,gene316,protein_coding,M744_01650,DNA polymerase subunit beta,WP_011243551.1
M744_RS01590,CP006471,299047,299676,-,gene317,protein_coding,M744_01655,dephospho-CoA kinase,WP_011243552.1
M744_RS01595,CP006471,299655,300449,-,gene318,protein_coding,M744_01660,uroporphyrinogen III methyltransferase,WP_011243553.1
M744_RS01600,CP006471,300442,301173,-,gene319,protein_coding,M744_01665,uroporphyrinogen III methyltransferase,WP_011243554.1
M744_RS01605,CP006471,301170,302381,-,gene320,protein_coding,M744_01670,hypothetical protein,WP_011243555.1
M744_RS01610,CP006471,302403,303362,+,gene321,protein_coding,M744_01675,alpha/beta hydrolase,WP_011243556.1
M744_RS01615,CP006471,303374,303856,+,gene322,protein_coding,M744_01680,MEKHLA domain-containing protein,WP_011243557.1
M744_RS01620,CP006471,303853,304581,-,gene323,protein_coding,M744_01685,ribosomal RNA small subunit methyltransferase G,WP_011243558.1
M744_RS01625,CP006471,305143,305700,+,gene324,protein_coding,M744_01695,molecular chaperone DnaJ,WP_011377514.1
M744_RS01630,CP006471,305678,305953,+,gene325,protein_coding,M744_01700,DUF3143 domain-containing protein,WP_011243560.1
M744_RS01635,CP006471,305966,306721,-,gene326,protein_coding,M744_01705,di-trans%2Cpoly-cis-decaprenylcistransferase,WP_011243561.1
M744_RS01640,CP006471,306718,307638,-,gene327,protein_coding,M744_01710,TIGR00159 family protein,WP_011243562.1
M744_RS01645,CP006471,307718,309112,-,gene328,protein_coding,M744_01715,diaminopimelate decarboxylase,WP_011243563.1
M744_RS01650,CP006471,309160,309759,+,gene329,protein_coding,M744_01720,ribosomal-protein-alanine N-acetyltransferase,WP_011377513.1
M744_RS01655,CP006471,309903,312377,+,gene330,protein_coding,M744_01725,ATP-dependent Clp protease ATP-binding subunit,WP_011377512.1
M744_RS01660,CP006471,312532,312864,-,gene331,protein_coding,M744_01730,hypothetical protein,WP_011243566.1
M744_RS01665,CP006471,313004,313444,-,gene332,protein_coding,M744_01735,glyoxalase,WP_011377511.1
M744_RS01670,CP006471,313493,314242,+,gene333,protein_coding,M744_01740,TIGR00297 family protein,WP_011243568.1
M744_RS01675,CP006471,314239,315435,-,gene334,protein_coding,M744_01745,amidohydrolase,WP_039755882.1
M744_RS01680,CP006471,315555,316835,+,gene335,protein_coding,M744_01750,DUF815 domain-containing protein,WP_011377509.1
M744_RS01685,CP006471,316909,319479,-,gene336,protein_coding,M744_01755,DNA gyrase subunit A,WP_011243571.1
M744_RS01690,CP006471,319679,320167,+,gene337,protein_coding,M744_01760,hypothetical protein,WP_011243572.1
M744_RS01695,CP006471,320202,320429,+,gene338,protein_coding,M744_01765,hypothetical protein,WP_011243573.1
M744_RS01700,CP006471,320458,321228,-,gene339,protein_coding,M744_01770,3'-5' exonuclease,WP_011243574.1
M744_RS01705,CP006471,321232,321699,-,gene340,protein_coding,M744_01775,pentapeptide repeat-containing protein,WP_011243575.1
M744_RS01710,CP006471,321702,322487,-,gene341,protein_coding,M744_01780,amino acid ABC transporter ATP-binding protein,WP_011243576.1
M744_RS01715,CP006471,322506,323696,-,gene342,protein_coding,M744_01785,amino acid ABC transporter permease,WP_011377507.1
M744_RS01720,CP006471,323698,324831,-,gene343,protein_coding,M744_01790,ABC permease for basic amino acids and glutamine,WP_011377506.1
M744_RS01725,CP006471,324838,325917,-,gene344,protein_coding,M744_01795,amino acid ABC transporter substrate-binding protein,WP_011243579.1
M744_RS01730,CP006471,326109,327170,+,gene345,protein_coding,M744_01800,type I glyceraldehyde-3-phosphate dehydrogenase,WP_011243580.1
M744_RS01735,CP006471,327182,329716,+,gene346,protein_coding,M744_01805,glycogen/starch/alpha-glucan phosphorylase,WP_011243581.1
M744_RS01740,CP006471,329816,329959,+,gene347,protein_coding,M744_01810,high light inducible protein,WP_011243582.1
M744_RS01745,CP006471,330063,331172,+,gene348,protein_coding,M744_01815,sodium:calcium antiporter,WP_011377505.1
M744_RS01750,CP006471,331169,331402,-,gene349,protein_coding,M744_01820,hypothetical protein,WP_039755484.1
M744_RS01755,CP006471,331484,332851,-,gene350,protein_coding,M744_01825,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,WP_011377504.1
M744_RS01760,CP006471,332996,333487,+,gene351,protein_coding,M744_01830,allophycocyanin alpha-B chain,WP_011243585.1
M744_RS01765,CP006471,333669,334007,+,gene352,protein_coding,M744_01840,cytochrome c6,WP_011377503.1
M744_RS01770,CP006471,334014,335195,+,gene353,protein_coding,M744_01845,hypothetical protein,WP_011243587.1
M744_RS01775,CP006471,335195,335773,+,gene354,protein_coding,M744_01850,hypothetical protein,WP_011243588.1
M744_RS01780,CP006471,335781,336320,-,gene355,protein_coding,M744_01855,cyclic nucleotide-binding protein,WP_011243589.1
M744_RS01785,CP006471,336661,337176,-,gene356,protein_coding,M744_01860,cyclic nucleotide-binding domain-containing protein,WP_011243590.1
M744_RS01790,CP006471,337188,338180,+,gene357,protein_coding,M744_01865,hypothetical protein,WP_011243591.1
M744_RS01795,CP006471,338284,338709,+,gene358,protein_coding,M744_01870,hypothetical protein,WP_011243592.1
M744_RS01800,CP006471,339053,340399,+,gene359,protein_coding,M744_01875,3-phosphoshikimate 1-carboxyvinyltransferase,WP_011243593.1
M744_RS01805,CP006471,340407,340931,+,gene360,protein_coding,M744_01880,N-acetyltransferase,WP_011243594.1
M744_RS01810,CP006471,341029,342075,+,gene361,protein_coding,M744_01885,hypothetical protein,WP_011243595.1
M744_RS01815,CP006471,342117,342689,-,gene362,protein_coding,M744_01890,hypothetical protein,WP_011243596.1
M744_RS01820,CP006471,342794,343054,-,gene363,protein_coding,M744_01895,DUF3146 domain-containing protein,WP_011243597.1
M744_RS01825,CP006471,343083,343709,-,gene364,protein_coding,M744_01900,peptidyl-tRNA hydrolase,WP_011243598.1
M744_RS01830,CP006471,343706,343981,-,gene365,protein_coding,M744_01905,twin-arginine translocase TatA/TatE family subunit,WP_011243599.1
M744_RS01835,CP006471,344075,344278,-,gene366,protein_coding,M744_01910,photosystem II reaction center protein H,WP_011243600.1
M744_RS01840,CP006471,344377,344517,+,gene367,protein_coding,M744_01915,photosystem II reaction center protein PsbN,WP_011243601.1
M744_RS01845,CP006471,344533,344943,+,gene368,protein_coding,M744_01920,hypothetical protein,WP_011377501.1
M744_RS01850,CP006471,344940,345806,-,gene369,protein_coding,M744_01925,NAD(P)-dependent oxidoreductase,WP_011243602.1
M744_RS01855,CP006471,345803,346840,-,gene370,protein_coding,M744_01930,glucokinase,WP_011243603.1
M744_RS01860,CP006471,346941,347699,+,gene371,protein_coding,M744_01935,MinD/ParA family protein,WP_011243604.1
M744_RS01865,CP006471,347702,348022,+,gene372,protein_coding,M744_01940,hypothetical protein,WP_011243605.1
M744_RS01870,CP006471,348147,348314,+,gene373,protein_coding,M744_01945,protochlorophyllide reductase,WP_011243606.1
M744_RS01875,CP006471,348338,348411,-,gene374,tRNA,M744_01950,,
M744_RS01880,CP006471,348467,349225,-,gene375,protein_coding,M744_01960,HAD family hydrolase,WP_011377500.1
M744_RS01885,CP006471,349374,350390,+,gene376,protein_coding,M744_01965,zinc-binding oxidoreductase,WP_011377499.1
M744_RS01890,CP006471,350525,350914,+,gene377,protein_coding,M744_01970,hypothetical protein,WP_011243609.1
M744_RS01895,CP006471,350906,351829,-,gene378,protein_coding,M744_01975,AEC family transporter,WP_011377498.1
M744_RS01900,CP006471,352150,352695,+,gene379,protein_coding,M744_01985,hypothetical protein,WP_011243611.1
M744_RS01905,CP006471,352779,353867,-,gene380,protein_coding,M744_01990,chorismate synthase,WP_011377497.1
M744_RS01910,CP006471,353954,355429,-,gene381,protein_coding,M744_02000,cobyric acid synthase CobQ,WP_011377496.1
M744_RS01915,CP006471,355441,355842,-,gene382,protein_coding,M744_02005,hypothetical protein,WP_011377495.1
M744_RS01920,CP006471,355888,356514,+,gene383,protein_coding,M744_02010,septum formation inhibitor Maf,WP_011243615.1
M744_RS01925,CP006471,356511,359282,-,gene384,protein_coding,M744_02015,hypothetical protein,WP_011377494.1
M744_RS01935,CP006471,359588,360976,-,gene385,protein_coding,M744_02025,nicotinate phosphoribosyltransferase,WP_011243617.1
M744_RS01940,CP006471,361124,362140,-,gene386,protein_coding,M744_02030,ADP-ribose pyrophosphatase,WP_011377492.1
M744_RS01945,CP006471,362292,362756,+,gene387,protein_coding,M744_02035,DUF3122 domain-containing protein,WP_011243619.1
M744_RS01950,CP006471,362749,363855,+,gene388,protein_coding,M744_02040,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,WP_011377491.1
